,Column Name,Correlation
1714,artist | fkj,0.011308933636439948
115,artist | _o_,0.011308933636439948
214,artist | aaron_smith,0.011298082198249517
2675,artist | krono,0.011298082198249517
2952,artist | luvli,0.011298082198249517
3775,artist | polo_g,0.01128207006918287
3751,artist | pixies,0.01127665287893189
2739,artist | lauren_spencer_smith,0.011257906627020484
1395,artist | dj_nelson,0.011235067319948633
2058,artist | homies,0.011228598958555009
4722,artist | the_backseat_lovers,0.011228598958554926
5003,artist | trevor_daniel,0.011173074077878759
2845,artist | little_mix,0.011169038560583572
2997,artist | majestic,0.011161457694693384
4201,artist | saweetie,0.011122470735131085
3989,artist | riton,0.011079995931869322
3338,artist | mufasa_,0.011079995931869322
87,artist | _hypeman,0.011079995931869322
1430,artist | dopamine,0.011079995931869322
1046,artist | chord_overstreet,0.011079995931869318
4768,artist | the_doobie_brothers,0.01095365170624685
1675,artist | felix_jaehn,0.010886330929649716
4074,artist | rvfv,0.010882699056639503
3280,artist | mnek,0.01083730201213195
4249,artist | seulgi,0.010764360085845403
3428,artist | neil_diamond,0.010764360085845387
3660,artist | paramore,0.01075204397755287
5476,track_genre|k-pop,0.010751798909238481
3504,artist | niska,0.01073445249341717
4889,artist | the_wanted,0.010734452493417137
3999,artist | roar,0.0107008733923974
2443,artist | joy_again,0.0107008733923974
3150,artist | mc_kevin_o_chris,0.010700873392397389
4424,artist | snow_patrol,0.010700873392397373
4882,artist | the_verve,0.010700873392397347
4428,artist | social_house,0.010700873392397321
3625,artist | outlawz,0.010663715530565132
2416,artist | jordan_davis,0.010655251716003164
5161,artist | vundabar,0.010623070524235952
5172,artist | wallows,0.010589993477785517
2497,artist | justin_timberlake,0.010557409497257695
263,artist | aespa,0.010545829968384756
1422,artist | don_mclean,0.010545167530970446
5217,artist | why_don,0.010543183495558203
4626,artist | t_we,0.010543183495558203
983,artist | cavetown,0.01054012090154079
4128,artist | salem_ilese,0.01049378034069818
2829,artist | limp_bizkit,0.010473977964814234
1548,artist | ellie_goulding,0.01045442703543832
5029,artist | two_feet,0.010445546991798487
3664,artist | parcels,0.01042678428005051
3500,artist | ninho,0.010416055798427694
1406,artist | dle,0.010394515573050758
410,artist | amy_macdonald,0.010361404405327962
481,artist | anıl_emre_daldal,0.010361404405327958
3459,artist | niall_horan,0.010324563934119511
724,artist | big_syke,0.010324438767276336
5171,artist | walker_hayes,0.010324438767276333
1467,artist | duke_,0.010324438767276314
